"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"SEX AND AGE","","","",""
"    Total population","325,719,178","*****","325,719,178","(X)"
"        Male","160,402,504","±26,371","49.2%","±0.1"
"        Female","165,316,674","±26,371","50.8%","±0.1"
"        Sex ratio (males per 100 females)","97.0","±0.1","(X)","(X)"
"    Under 5 years","19,795,159","±20,249","6.1%","±0.1"
"    5 to 9 years","20,095,947","±62,409","6.2%","±0.1"
"    10 to 14 years","21,130,768","±56,442","6.5%","±0.1"
"    15 to 19 years","21,497,166","±38,471","6.6%","±0.1"
"    20 to 24 years","21,950,055","±33,648","6.7%","±0.1"
"    25 to 34 years","44,965,735","±36,952","13.8%","±0.1"
"    35 to 44 years","41,117,905","±35,116","12.6%","±0.1"
"    45 to 54 years","42,330,955","±34,932","13.0%","±0.1"
"    55 to 59 years","21,765,184","±53,487","6.7%","±0.1"
"    60 to 64 years","20,254,592","±55,486","6.2%","±0.1"
"    65 to 74 years","29,731,876","±21,417","9.1%","±0.1"
"    75 to 84 years","14,824,363","±38,830","4.6%","±0.1"
"    85 years and over","6,259,473","±36,320","1.9%","±0.1"
"    Median age (years)","38.1","±0.1","(X)","(X)"
"    Under 18 years","73,648,683","±36,202","22.6%","±0.1"
"    16 years and over","260,564,248","±51,178","80.0%","±0.1"
"    18 years and over","252,070,495","±36,202","77.4%","±0.1"
"    21 years and over","238,648,563","±85,461","73.3%","±0.1"
"    62 years and over","62,536,354","±59,241","19.2%","±0.1"
"    65 years and over","50,815,712","±21,685","15.6%","±0.1"
"    18 years and over","252,070,495","±36,202","252,070,495","(X)"
"        Male","122,729,360","±25,159","48.7%","±0.1"
"        Female","129,341,135","±23,944","51.3%","±0.1"
"        Sex ratio (males per 100 females)","94.9","±0.1","(X)","(X)"
"    65 years and over","50,815,712","±21,685","50,815,712","(X)"
"        Male","22,520,449","±12,681","44.3%","±0.1"
"        Female","28,295,263","±14,204","55.7%","±0.1"
"        Sex ratio (males per 100 females)","79.6","±0.1","(X)","(X)"
"RACE","","","",""
"    Total population","325,719,178","*****","325,719,178","(X)"
"        One race","315,003,713","±93,074","96.7%","±0.1"
"        Two or more races","10,715,465","±93,074","3.3%","±0.1"
"    One race","315,003,713","±93,074","96.7%","±0.1"
"        White","235,507,457","±124,475","72.3%","±0.1"
"        Black or African American","41,393,491","±70,528","12.7%","±0.1"
"        American Indian and Alaska Native","2,726,278","±34,715","0.8%","±0.1"
"            Cherokee tribal grouping","291,434","±9,420","0.1%","±0.1"
"            Chippewa tribal grouping","118,195","±5,268","0.0%","±0.1"
"            Navajo tribal grouping","329,207","±10,208","0.1%","±0.1"
"            Sioux tribal grouping","112,575","±5,974","0.0%","±0.1"
"        Asian","18,215,328","±37,389","5.6%","±0.1"
"            Asian Indian","4,094,539","±47,530","1.3%","±0.1"
"            Chinese","4,344,981","±44,409","1.3%","±0.1"
"            Filipino","2,911,668","±48,265","0.9%","±0.1"
"            Japanese","770,546","±22,004","0.2%","±0.1"
"            Korean","1,477,282","±29,508","0.5%","±0.1"
"            Vietnamese","1,826,998","±37,445","0.6%","±0.1"
"            Other Asian","2,789,314","±47,137","0.9%","±0.1"
"        Native Hawaiian and Other Pacific Islander","608,219","±15,786","0.2%","±0.1"
"            Native Hawaiian","191,739","±12,017","0.1%","±0.1"
"            Guamanian or Chamorro","85,771","±6,279","0.0%","±0.1"
"            Samoan","105,076","±8,501","0.0%","±0.1"
"            Other Pacific Islander","225,633","±12,719","0.1%","±0.1"
"        Some other race","16,552,940","±124,599","5.1%","±0.1"
"    Two or more races","10,715,465","±93,074","3.3%","±0.1"
"        White and Black or African American","2,965,541","±49,555","0.9%","±0.1"
"        White and American Indian and Alaska Native","1,908,749","±27,162","0.6%","±0.1"
"        White and Asian","2,230,662","±33,611","0.7%","±0.1"
"        Black or African American and American Indian and Alaska Native","316,918","±13,732","0.1%","±0.1"
"    Race alone or in combination with one or more other races","","","",""
"        Total population","325,719,178","*****","325,719,178","(X)"
"            White","244,691,364","±150,128","75.1%","±0.1"
"            Black or African American","45,789,188","±49,117","14.1%","±0.1"
"            American Indian and Alaska Native","5,631,945","±46,437","1.7%","±0.1"
"            Asian","21,646,070","±33,885","6.6%","±0.1"
"            Native Hawaiian and Other Pacific Islander","1,407,096","±27,471","0.4%","±0.1"
"            Some other race","18,346,638","±130,586","5.6%","±0.1"
"HISPANIC OR LATINO AND RACE","","","",""
"    Total population","325,719,178","*****","325,719,178","(X)"
"        Hispanic or Latino (of any race)","58,846,134","±10,193","18.1%","±0.1"
"            Mexican","36,668,018","±93,695","11.3%","±0.1"
"            Puerto Rican","5,588,664","±67,935","1.7%","±0.1"
"            Cuban","2,315,863","±40,628","0.7%","±0.1"
"            Other Hispanic or Latino","14,273,589","±96,763","4.4%","±0.1"
"        Not Hispanic or Latino","266,873,044","±10,193","81.9%","±0.1"
"            White alone","197,285,202","±25,021","60.6%","±0.1"
"            Black or African American alone","40,129,593","±66,631","12.3%","±0.1"
"            American Indian and Alaska Native alone","2,145,162","±20,808","0.7%","±0.1"
"            Asian alone","17,999,846","±36,667","5.5%","±0.1"
"            Native Hawaiian and Other Pacific Islander alone","546,778","±14,210","0.2%","±0.1"
"            Some other race alone","833,898","±29,253","0.3%","±0.1"
"            Two or more races","7,932,565","±76,889","2.4%","±0.1"
"                Two races including Some other race","321,268","±16,084","0.1%","±0.1"
"                Two races excluding Some other race, and Three or more races","7,611,297","±75,458","2.3%","±0.1"
"    Total housing units","137,407,308","±4,122","(X)","(X)"
"CITIZEN, VOTING AGE POPULATION","","","",""
"    Citizen, 18 and over population","231,416,670","±148,476","231,416,670","(X)"
"        Male","112,252,888","±86,882","48.5%","±0.1"
"        Female","119,163,782","±79,332","51.5%","±0.1"
