"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"SEX AND AGE","","","",""
"    Total population","321,418,821","*****","321,418,821","(X)"
"        Male","158,167,834","±31,499","49.2%","±0.1"
"        Female","163,250,987","±31,500","50.8%","±0.1"
"    Under 5 years","19,793,807","±16,520","6.2%","±0.1"
"    5 to 9 years","20,582,473","±62,124","6.4%","±0.1"
"    10 to 14 years","20,627,389","±58,029","6.4%","±0.1"
"    15 to 19 years","21,426,912","±30,132","6.7%","±0.1"
"    20 to 24 years","22,541,077","±30,660","7.0%","±0.1"
"    25 to 34 years","43,897,832","±33,513","13.7%","±0.1"
"    35 to 44 years","40,804,130","±27,374","12.7%","±0.1"
"    45 to 54 years","43,135,580","±35,565","13.4%","±0.1"
"    55 to 59 years","21,590,716","±57,347","6.7%","±0.1"
"    60 to 64 years","19,286,425","±58,253","6.0%","±0.1"
"    65 to 74 years","27,587,267","±18,762","8.6%","±0.1"
"    75 to 84 years","13,984,046","±33,235","4.4%","±0.1"
"    85 years and over","6,161,167","±31,999","1.9%","±0.1"
"    Median age (years)","37.8","±0.1","(X)","(X)"
"    18 years and over","247,789,111","±34,138","77.1%","±0.1"
"    21 years and over","234,350,853","±75,610","72.9%","±0.1"
"    62 years and over","58,839,989","±57,778","18.3%","±0.1"
"    65 years and over","47,732,480","±20,477","14.9%","±0.1"
"    18 years and over","247,789,111","±34,138","247,789,111","(X)"
"        Male","120,542,426","±27,023","48.6%","±0.1"
"        Female","127,246,685","±18,015","51.4%","±0.1"
"    65 years and over","47,732,480","±20,477","47,732,480","(X)"
"        Male","21,054,655","±12,060","44.1%","±0.1"
"        Female","26,677,825","±13,870","55.9%","±0.1"
"RACE","","","",""
"    Total population","321,418,821","*****","321,418,821","(X)"
"        One race","311,437,291","±85,152","96.9%","±0.1"
"        Two or more races","9,981,530","±85,150","3.1%","±0.1"
"    One race","311,437,291","±85,152","96.9%","±0.1"
"        White","234,940,100","±116,033","73.1%","±0.1"
"        Black or African American","40,695,277","±62,504","12.7%","±0.1"
"        American Indian and Alaska Native","2,597,249","±28,184","0.8%","±0.1"
"            Cherokee tribal grouping","284,858","±8,468","0.1%","±0.1"
"            Chippewa tribal grouping","115,280","±5,171","0.0%","±0.1"
"            Navajo tribal grouping","323,757","±9,646","0.1%","±0.1"
"            Sioux tribal grouping","117,019","±5,640","0.0%","±0.1"
"        Asian","17,273,777","±37,430","5.4%","±0.1"
"            Asian Indian","3,699,957","±41,382","1.2%","±0.1"
"            Chinese","4,133,674","±45,606","1.3%","±0.1"
"            Filipino","2,848,148","±43,901","0.9%","±0.1"
"            Japanese","757,468","±15,925","0.2%","±0.1"
"            Korean","1,460,483","±28,275","0.5%","±0.1"
"            Vietnamese","1,738,848","±39,280","0.5%","±0.1"
"            Other Asian","2,635,199","±42,134","0.8%","±0.1"
"        Native Hawaiian and Other Pacific Islander","554,946","±13,174","0.2%","±0.1"
"            Native Hawaiian","176,482","±10,037","0.1%","±0.1"
"            Guamanian or Chamorro","78,522","±7,646","0.0%","±0.1"
"            Samoan","120,019","±10,866","0.0%","±0.1"
"            Other Pacific Islander","179,923","±10,544","0.1%","±0.1"
"        Some other race","15,375,942","±120,011","4.8%","±0.1"
"    Two or more races","9,981,530","±85,150","3.1%","±0.1"
"        White and Black or African American","2,654,878","±44,774","0.8%","±0.1"
"        White and American Indian and Alaska Native","1,911,158","±24,913","0.6%","±0.1"
"        White and Asian","2,038,169","±34,154","0.6%","±0.1"
"        Black or African American and American Indian and Alaska Native","305,975","±12,502","0.1%","±0.1"
"    Race alone or in combination with one or more other races","","","",""
"        Total population","321,418,821","*****","321,418,821","(X)"
"            White","243,479,179","±125,332","75.8%","±0.1"
"            Black or African American","44,655,257","±41,337","13.9%","±0.1"
"            American Indian and Alaska Native","5,431,402","±40,432","1.7%","±0.1"
"            Asian","20,416,808","±29,620","6.4%","±0.1"
"            Native Hawaiian and Other Pacific Islander","1,314,433","±23,987","0.4%","±0.1"
"            Some other race","17,051,509","±124,350","5.3%","±0.1"
"HISPANIC OR LATINO AND RACE","","","",""
"    Total population","321,418,821","*****","321,418,821","(X)"
"        Hispanic or Latino (of any race)","56,496,122","±8,415","17.6%","±0.1"
"            Mexican","35,797,080","±91,689","11.1%","±0.1"
"            Puerto Rican","5,372,759","±57,569","1.7%","±0.1"
"            Cuban","2,106,501","±30,210","0.7%","±0.1"
"            Other Hispanic or Latino","13,219,782","±96,473","4.1%","±0.1"
"        Not Hispanic or Latino","264,922,699","±8,415","82.4%","±0.1"
"            White alone","197,534,496","±20,894","61.5%","±0.1"
"            Black or African American alone","39,597,600","±56,543","12.3%","±0.1"
"            American Indian and Alaska Native alone","2,069,645","±18,015","0.6%","±0.1"
"            Asian alone","17,081,093","±37,805","5.3%","±0.1"
"            Native Hawaiian and Other Pacific Islander alone","502,876","±11,192","0.2%","±0.1"
"            Some other race alone","699,309","±25,109","0.2%","±0.1"
"            Two or more races","7,437,680","±68,412","2.3%","±0.1"
"                Two races including Some other race","279,052","±10,712","0.1%","±0.1"
"                Two races excluding Some other race, and Three or more races","7,158,628","±66,638","2.2%","±0.1"
"    Total housing units","134,793,665","±2,413","(X)","(X)"
"CITIZEN, VOTING AGE POPULATION","","","",""
"    Citizen, 18 and over population","227,019,486","±125,474","227,019,486","(X)"
"        Male","109,941,387","±76,790","48.4%","±0.1"
"        Female","117,078,099","±58,245","51.6%","±0.1"
